"Model","Speed","Accuracy","label"
"GTF_ssd_mobilenet_v1_coco","1.2","51","GTF"
"GTF_ssd_inception_v2_coco","1.8","54","GTF"
"GTF_rfcn_resnet101_coco","5.6","60","GTF"
"GTF_faster_rcnn_resnet101_coco","4.7","62","GTF"
"GTF_faster_rcnn_inception_resnet_v2_atrous_coco","13","67","GTF"
"GTF_faster_rcnn_nas","12.5","73","GTF"
"YOLOv2_AlexNet","1.3","64","YOLO"
"YOLOv2_Darknet Reference","1.16","68.1","YOLO"
"YOLOv2_VGG-16","6.9","77.5","YOLO"
"YOLOv2_Extraction","1.95","79.5","YOLO"
"YOLOv2_Darknet19","1.66","79.9","YOLO"
"YOLOv2_Darknet19 448x448 ","3.8","83.4","YOLO"
"YOLOv2_Resnet 50","8.9","82.8","YOLO"
"YOLOv2_Resnet 152","18.2","84.6","YOLO"
"YOLOv2_Densenet 201","22.6","84","YOLO"
